"期間","新台幣NTD/USD","日圓JPY/USD","英鎊USD/GBP","港幣HKD/USD","韓元KRW/USD"
"1960M01","40.000","360.00","2.8000","5.7143","50.0"
"1960M02","40.000","360.00","2.8000","5.7143","57.5"
"1960M03","40.000","360.00","2.8000","5.7143","65.0"
"1960M04","40.000","360.00","2.8000","5.7143","65.0"
"1960M05","40.000","360.00","2.8000","5.7143","65.0"
"1960M06","40.000","360.00","2.8000","5.7143","65.0"
"1960M07","40.000","360.00","2.8000","5.7143","65.0"
"1960M08","40.000","360.00","2.8000","5.7143","65.0"
"1960M09","40.000","360.00","2.8000","5.7143","65.0"
"1960M10","40.000","360.00","2.8000","5.7143","65.0"
"1960M11","40.000","360.00","2.8000","5.7143","65.0"
"1960M12","40.000","360.00","2.8000","5.7143","65.0"
"1961M01","40.000","360.00","2.8000","5.7143","82.5"
"1961M02","40.000","360.00","2.8000","5.7143","115.0"
"1961M03","40.000","360.00","2.8000","5.7143","130.0"
"1961M04","40.000","360.00","2.8000","5.7143","130.0"
"1961M05","40.000","360.00","2.8000","5.7143","130.0"
"1961M06","40.000","360.00","2.8000","5.7143","130.0"
"1961M07","40.000","360.00","2.8000","5.7143","130.0"
"1961M08","40.000","360.00","2.8000","5.7143","130.0"
"1961M09","40.000","360.00","2.8000","5.7143","130.0"
"1961M10","40.000","360.00","2.8000","5.7143","130.0"
"1961M11","40.000","360.00","2.8000","5.7143","130.0"
"1961M12","40.000","360.00","2.8000","5.7143","130.0"
"1962M01","40.000","360.00","2.8000","5.7143","130.0"
"1962M02","40.000","360.00","2.8000","5.7143","130.0"
"1962M03","40.000","360.00","2.8000","5.7143","130.0"
"1962M04","40.000","360.00","2.8000","5.7143","130.0"
"1962M05","40.000","360.00","2.8000","5.7143","130.0"
"1962M06","40.000","360.00","2.8000","5.7143","130.0"
"1962M07","40.000","360.00","2.8000","5.7143","130.0"
"1962M08","40.000","360.00","2.8000","5.7143","130.0"
"1962M09","40.000","360.00","2.8000","5.7143","130.0"
"1962M10","40.000","360.00","2.8000","5.7143","130.0"
"1962M11","40.000","360.00","2.8000","5.7143","130.0"
"1962M12","40.000","360.00","2.8000","5.7143","130.0"
"1963M01","40.000","360.00","2.8000","5.7143","130.0"
"1963M02","40.000","360.00","2.8000","5.7143","130.0"
"1963M03","40.000","360.00","2.8000","5.7143","130.0"
"1963M04","40.000","360.00","2.8000","5.7143","130.0"
"1963M05","40.000","360.00","2.8000","5.7143","130.0"
"1963M06","40.000","360.00","2.8000","5.7143","130.0"
"1963M07","40.000","360.00","2.8000","5.7143","130.0"
"1963M08","40.000","360.00","2.8000","5.7143","130.0"
"1963M09","40.000","360.00","2.8000","5.7143","130.0"
"1963M10","40.000","360.00","2.8000","5.7143","130.0"
"1963M11","40.000","360.00","2.8000","5.7143","130.0"
"1963M12","40.000","360.00","2.8000","5.7143","130.0"
"1964M01","40.000","360.00","2.8000","5.7143","130.0"
"1964M02","40.000","360.00","2.8000","5.7143","130.0"
"1964M03","40.000","360.00","2.8000","5.7143","130.0"
"1964M04","40.000","360.00","2.8000","5.7143","130.0"
"1964M05","40.000","360.00","2.8000","5.7143","255.8"
"1964M06","40.000","360.00","2.8000","5.7143","255.8"
"1964M07","40.000","360.00","2.8000","5.7143","255.8"
"1964M08","40.000","360.00","2.8000","5.7143","255.8"
"1964M09","40.000","360.00","2.8000","5.7143","255.8"
"1964M10","40.000","360.00","2.8000","5.7143","255.8"
"1964M11","40.000","360.00","2.8000","5.7143","255.8"
"1964M12","40.000","360.00","2.8000","5.7143","255.8"
"1965M01","40.000","360.00","2.8000","5.7143","255.8"
"1965M02","40.000","360.00","2.8000","5.7143","255.8"
"1965M03","40.000","360.00","2.8000","5.7143","260.5"
"1965M04","40.000","360.00","2.8000","5.7143","259.1"
"1965M05","40.000","360.00","2.8000","5.7143","266.1"
"1965M06","40.000","360.00","2.8000","5.7143","268.2"
"1965M07","40.000","360.00","2.8000","5.7143","271.7"
"1965M08","40.000","360.00","2.8000","5.7143","272.1"
"1965M09","40.000","360.00","2.8000","5.7143","272.1"
"1965M10","40.000","360.00","2.8000","5.7143","272.0"
"1965M11","40.000","360.00","2.8000","5.7143","271.8"
"1965M12","40.000","360.00","2.8000","5.7143","271.8"
"1966M01","40.000","360.00","2.8000","5.7143","271.8"
"1966M02","40.000","360.00","2.8000","5.7143","271.7"
"1966M03","40.000","360.00","2.8000","5.7143","271.8"
"1966M04","40.000","360.00","2.8000","5.7143","271.4"
"1966M05","40.000","360.00","2.8000","5.7143","271.2"
"1966M06","40.000","360.00","2.8000","5.7143","271.2"
"1966M07","40.000","360.00","2.8000","5.7143","271.2"
"1966M08","40.000","360.00","2.8000","5.7143","271.2"
"1966M09","40.000","360.00","2.8000","5.7143","271.2"
"1966M10","40.000","360.00","2.8000","5.7143","271.2"
"1966M11","40.000","360.00","2.8000","5.7143","271.2"
"1966M12","40.000","360.00","2.8000","5.7143","271.2"
